"survey_response_id","segment","age","city","purchase_frequency_per_month","monthly_beverage_spend_eur","price_sensitivity_1_10","preferred_channel","aware_pulsup","aware_matelibre","aware_voltfit","aware_rootandrise","lumen_purchase_intent_1_10"
"DE-SURVEY-064","On-the-go Commuters","45","Berlin","5.4","26.49","4.1","DTC Online","1","1","0","0","8.5"
"DE-SURVEY-065","Urban Wellness Professionals","33","Other Germany","6.4","29.0","4.6","DTC Online","1","0","1","0","7.1"
"DE-SURVEY-066","Fitness & Gym-Goers","30","Other Germany","6.8","18.48","6.6","Gym & Office","0","1","1","0","8.0"
"DE-SURVEY-067","Urban Wellness Professionals","32","Cologne","10.1","19.11","2.7","DTC Online","0","0","1","1","8.5"
"DE-SURVEY-068","Students & Budget-Conscious","21","Berlin","6.2","10.8","8.9","Gym & Office","1","0","1","0","2.7"
"DE-SURVEY-069","Students & Budget-Conscious","21","Other Germany","3.8","13.08","7.7","Retail/Grocery","0","1","0","0","6.0"
"DE-SURVEY-070","Students & Budget-Conscious","20","Munich","5.4","5.46","8.8","Retail/Grocery","1","0","0","0","1.9"
"DE-SURVEY-071","On-the-go Commuters","42","Munich","7.1","20.39","5.7","Gym & Office","1","1","1","1","6.8"
"DE-SURVEY-072","Fitness & Gym-Goers","18","Berlin","6.2","20.28","5.3","Gym & Office","1","1","1","0","8.8"
"DE-SURVEY-073","Fitness & Gym-Goers","32","Cologne","2.1","18.11","5.1","Retail/Grocery","1","0","0","0","7.1"
"DE-SURVEY-074","Students & Budget-Conscious","23","Other Germany","6.2","23.11","7.7","DTC Online","1","1","0","0","7.1"
"DE-SURVEY-075","Urban Wellness Professionals","38","Berlin","6.0","19.26","3.3","DTC Online","0","1","1","1","10"
"DE-SURVEY-076","Fitness & Gym-Goers","29","Other Germany","6.5","10.58","6.0","Gym & Office","1","1","0","0","8.6"
"DE-SURVEY-077","Fitness & Gym-Goers","31","Hamburg","4.9","13.22","7.2","Gym & Office","0","1","1","0","8.5"
"DE-SURVEY-078","Urban Wellness Professionals","33","Frankfurt","5.5","13.23","5.9","DTC Online","0","0","1","1","6.9"
"DE-SURVEY-079","Fitness & Gym-Goers","27","Other Germany","7.1","18.63","5.8","Retail/Grocery","0","1","1","0","7.2"
"DE-SURVEY-080","Urban Wellness Professionals","30","Hamburg","6.2","22.31","4.1","DTC Online","0","1","0","1","8.9"
"DE-SURVEY-081","Students & Budget-Conscious","22","Berlin","8.1","8.49","7.6","Retail/Grocery","1","0","1","0","5.8"
"DE-SURVEY-082","Students & Budget-Conscious","19","Other Germany","6.1","12.4","9.1","Retail/Grocery","1","0","0","0","5.1"
"DE-SURVEY-083","Urban Wellness Professionals","26","Cologne","4.7","13.11","4.6","DTC Online","1","1","1","0","8.0"
"DE-SURVEY-084","Fitness & Gym-Goers","29","Berlin","7.6","32.66","4.3","Retail/Grocery","1","0","1","0","10"
"DE-SURVEY-085","Urban Wellness Professionals","31","Other Germany","3.7","25.27","3.2","DTC Online","1","0","0","0","8.9"
"DE-SURVEY-086","Students & Budget-Conscious","24","Other Germany","1.8","7.37","6.9","Retail/Grocery","0","1","0","0","2.6"
"DE-SURVEY-087","Fitness & Gym-Goers","26","Frankfurt","6.6","24.08","6.8","Gym & Office","0","0","1","0","7.5"
"DE-SURVEY-088","Urban Wellness Professionals","26","Cologne","9.6","25.19","2.9","DTC Online","0","1","0","1","10"
"DE-SURVEY-089","Students & Budget-Conscious","19","Other Germany","5.2","14.51","7.2","Retail/Grocery","1","0","0","0","6.8"
"DE-SURVEY-090","Students & Budget-Conscious","18","Frankfurt","8.9","24.75","8.0","Retail/Grocery","1","0","0","0","4.9"
"DE-SURVEY-091","Fitness & Gym-Goers","30","Berlin","6.1","21.19","3.8","Retail/Grocery","0","0","0","1","9.6"
"DE-SURVEY-092","Fitness & Gym-Goers","34","Hamburg","7.3","26.29","5.9","Gym & Office","1","1","0","1","7.1"
"DE-SURVEY-093","On-the-go Commuters","48","Other Germany","3.4","14.94","7.3","Retail/Grocery","1","0","0","0","5.4"
"DE-SURVEY-094","Students & Budget-Conscious","20","Other Germany","3.7","20.1","6.3","Retail/Grocery","0","0","0","0","5.3"
"DE-SURVEY-095","Fitness & Gym-Goers","32","Cologne","6.9","24.36","4.1","Retail/Grocery","0","1","1","0","9.6"
"DE-SURVEY-096","On-the-go Commuters","47","Other Germany","6.2","11.78","6.7","Gym & Office","1","0","0","0","6.8"
"DE-SURVEY-097","On-the-go Commuters","38","Berlin","12.2","18.03","6.4","Gym & Office","0","0","0","1","6.7"
"DE-SURVEY-098","Students & Budget-Conscious","24","Cologne","5.1","20.99","7.9","Gym & Office","1","0","0","0","6.0"
"DE-SURVEY-099","Students & Budget-Conscious","20","Berlin","3.5","29.02","6.8","Retail/Grocery","1","0","0","0","7.2"
"DE-SURVEY-100","Students & Budget-Conscious","18","Other Germany","7.4","10.21","8.7","Gym & Office","1","0","0","1","4.8"
"DE-SURVEY-101","On-the-go Commuters","26","Other Germany","4.1","23.66","6.0","DTC Online","1","0","0","1","7.2"
"DE-SURVEY-102","Urban Wellness Professionals","35","Other Germany","6.2","22.33","5.0","Retail/Grocery","0","1","1","0","9.5"
"DE-SURVEY-103","On-the-go Commuters","35","Other Germany","5.0","17.15","7.6","Retail/Grocery","1","0","0","0","8.2"
"DE-SURVEY-104","Students & Budget-Conscious","20","Cologne","3.3","22.33","9.0","Retail/Grocery","0","1","0","0","4.5"
"DE-SURVEY-105","Students & Budget-Conscious","22","Other Germany","6.0","14.72","7.8","Retail/Grocery","1","1","0","0","6.6"
"DE-SURVEY-106","Fitness & Gym-Goers","29","Other Germany","4.3","30.77","4.0","Gym & Office","1","0","1","1","9.6"
"DE-SURVEY-107","On-the-go Commuters","46","Other Germany","6.4","12.72","8.1","Retail/Grocery","1","0","0","0","6.5"
"DE-SURVEY-108","Fitness & Gym-Goers","22","Frankfurt","5.3","28.54","4.9","Gym & Office","1","0","1","1","9.9"
"DE-SURVEY-109","Urban Wellness Professionals","34","Other Germany","9.1","8.32","5.3","DTC Online","1","0","0","1","9.6"
"DE-SURVEY-110","Urban Wellness Professionals","27","Frankfurt","4.1","29.09","4.7","Retail/Grocery","0","1","1","1","8.0"
"DE-SURVEY-111","On-the-go Commuters","25","Hamburg","9.0","33.18","2.4","Retail/Grocery","1","0","0","0","10"
"DE-SURVEY-112","Urban Wellness Professionals","27","Berlin","9.1","18.87","1.6","Retail/Grocery","0","1","0","1","10"
"DE-SURVEY-113","On-the-go Commuters","26","Other Germany","7.3","23.95","5.7","Gym & Office","1","1","1","1","6.5"
"DE-SURVEY-114","On-the-go Commuters","33","Berlin","6.8","10.87","7.5","Retail/Grocery","1","0","1","0","4.7"
"DE-SURVEY-115","Students & Budget-Conscious","24","Berlin","2.9","11.2","6.7","Retail/Grocery","1","1","0","0","7.3"
"DE-SURVEY-116","On-the-go Commuters","46","Hamburg","5.1","14.24","5.7","Retail/Grocery","1","0","1","0","7.7"
"DE-SURVEY-117","Urban Wellness Professionals","37","Berlin","7.1","20.01","2.4","DTC Online","1","1","1","0","10"
"DE-SURVEY-118","Students & Budget-Conscious","24","Other Germany","5.9","23.11","8.3","Gym & Office","1","1","0","0","5.2"
"DE-SURVEY-119","Students & Budget-Conscious","22","Hamburg","6.5","16.75","5.3","Retail/Grocery","1","1","0","0","5.6"
"DE-SURVEY-120","Fitness & Gym-Goers","29","Berlin","8.3","25.82","6.1","Retail/Grocery","1","0","1","1","8.3"
"DE-SURVEY-121","On-the-go Commuters","37","Hamburg","3.7","19.05","8.0","Retail/Grocery","1","1","1","0","7.2"
"DE-SURVEY-122","Urban Wellness Professionals","29","Munich","11.4","19.82","5.6","DTC Online","0","0","0","1","7.2"
"DE-SURVEY-123","On-the-go Commuters","36","Hamburg","5.2","20.99","4.0","Retail/Grocery","1","0","0","0","5.6"
"DE-SURVEY-124","Fitness & Gym-Goers","19","Frankfurt","4.8","23.82","4.3","Retail/Grocery","1","0","1","1","7.9"
"DE-SURVEY-125","Urban Wellness Professionals","29","Hamburg","8.1","14.15","1.7","Retail/Grocery","0","0","0","0","10"
"DE-SURVEY-126","Urban Wellness Professionals","37","Munich","5.8","15.41","4.5","Retail/Grocery","0","0","0","1","10"
"DE-SURVEY-127","Students & Budget-Conscious","22","Munich","2.4","10.8","7.4","DTC Online","0","0","1","0","5.9"
"DE-SURVEY-128","Urban Wellness Professionals","37","Other Germany","7.0","30.74","6.6","Retail/Grocery","0","1","0","1","9.5"
"DE-SURVEY-129","Fitness & Gym-Goers","26","Berlin","9.2","11.77","5.6","Gym & Office","1","0","1","0","7.4"
"DE-SURVEY-130","Students & Budget-Conscious","22","Other Germany","2.4","10.3","6.5","Gym & Office","1","1","1","0","6.6"
"DE-SURVEY-131","Fitness & Gym-Goers","25","Frankfurt","9.2","24.87","3.3","DTC Online","0","1","1","0","9.1"
"DE-SURVEY-132","Students & Budget-Conscious","18","Berlin","3.7","7.02","9.1","Retail/Grocery","0","1","0","0","5.3"
"DE-SURVEY-133","On-the-go Commuters","35","Berlin","5.7","16.99","6.0","DTC Online","1","0","0","0","7.8"
"DE-SURVEY-134","Urban Wellness Professionals","35","Berlin","6.2","21.65","5.0","DTC Online","0","1","1","1","8.7"
"DE-SURVEY-135","Fitness & Gym-Goers","26","Other Germany","4.7","26.19","4.8","DTC Online","0","0","1","0","10"
"DE-SURVEY-136","On-the-go Commuters","36","Other Germany","7.0","27.35","4.6","DTC Online","0","0","0","0","7.4"
"DE-SURVEY-137","Fitness & Gym-Goers","20","Frankfurt","6.7","25.2","7.0","Retail/Grocery","0","1","1","0","7.7"
"DE-SURVEY-138","Students & Budget-Conscious","19","Other Germany","3.2","18.26","9.1","Retail/Grocery","1","0","0","0","5.0"
"DE-SURVEY-139","Students & Budget-Conscious","20","Other Germany","5.0","32.97","9.1","Gym & Office","1","0","1","0","6.6"
"DE-SURVEY-140","Fitness & Gym-Goers","31","Hamburg","2.1","11.19","7.4","Retail/Grocery","1","0","1","1","8.4"
"DE-SURVEY-141","Urban Wellness Professionals","29","Other Germany","1.7","13.66","3.6","DTC Online","1","1","1","1","10"
"DE-SURVEY-142","Students & Budget-Conscious","23","Other Germany","3.0","23.43","5.7","Retail/Grocery","1","1","0","0","6.1"
"DE-SURVEY-143","Students & Budget-Conscious","18","Hamburg","8.7","22.76","8.5","Retail/Grocery","1","0","1","0","5.7"
"DE-SURVEY-144","Fitness & Gym-Goers","28","Munich","7.8","33.58","5.7","DTC Online","0","0","1","0","9.1"
"DE-SURVEY-145","On-the-go Commuters","45","Other Germany","4.3","18.98","5.6","Retail/Grocery","1","1","0","1","7.8"
"DE-SURVEY-146","Urban Wellness Professionals","26","Frankfurt","7.5","24.75","2.2","DTC Online","0","1","1","0","10"
"DE-SURVEY-147","Students & Budget-Conscious","21","Other Germany","3.8","16.67","8.6","DTC Online","1","0","1","0","2.6"
"DE-SURVEY-148","Students & Budget-Conscious","19","Other Germany","2.6","12.69","9.7","Retail/Grocery","1","1","0","0","2.9"
"DE-SURVEY-149","Urban Wellness Professionals","36","Cologne","9.0","7.63","6.5","Gym & Office","1","1","0","1","8.4"
"DE-SURVEY-150","Students & Budget-Conscious","20","Frankfurt","6.4","18.06","7.8","Retail/Grocery","1","0","1","0","7.5"
"DE-SURVEY-151","Urban Wellness Professionals","40","Cologne","8.7","26.77","4.5","Gym & Office","0","0","0","1","10"
"DE-SURVEY-152","On-the-go Commuters","26","Other Germany","4.5","18.68","6.5","Retail/Grocery","1","0","0","0","6.2"
"DE-SURVEY-153","Urban Wellness Professionals","40","Berlin","7.5","22.09","3.3","DTC Online","0","0","1","0","8.0"
"DE-SURVEY-154","Students & Budget-Conscious","18","Frankfurt","4.3","11.26","7.3","Retail/Grocery","0","1","1","0","7.9"
"DE-SURVEY-155","Students & Budget-Conscious","24","Other Germany","6.6","9.76","7.0","DTC Online","1","0","0","0","6.3"
"DE-SURVEY-156","On-the-go Commuters","28","Other Germany","9.6","23.94","6.6","Retail/Grocery","1","0","0","0","5.2"
"DE-SURVEY-157","Students & Budget-Conscious","24","Munich","1.8","14.87","8.0","Retail/Grocery","1","0","0","0","5.8"
"DE-SURVEY-158","Urban Wellness Professionals","29","Other Germany","5.4","26.67","3.5","DTC Online","0","0","0","0","10"
"DE-SURVEY-159","Urban Wellness Professionals","33","Other Germany","9.7","20.09","3.7","Retail/Grocery","1","0","1","1","10"
"DE-SURVEY-160","Students & Budget-Conscious","20","Berlin","6.0","22.37","7.7","Retail/Grocery","1","1","1","0","5.6"
"DE-SURVEY-161","Fitness & Gym-Goers","31","Berlin","6.2","25.25","3.8","Gym & Office","1","0","1","0","6.0"
"DE-SURVEY-162","On-the-go Commuters","32","Frankfurt","7.1","18.51","6.5","Retail/Grocery","1","1","0","0","7.2"
"DE-SURVEY-163","On-the-go Commuters","48","Other Germany","6.6","26.6","5.3","Gym & Office","1","0","0","0","7.2"
"DE-SURVEY-164","On-the-go Commuters","45","Other Germany","11.1","23.14","4.6","Gym & Office","0","1","0","0","8.8"
"DE-SURVEY-165","Fitness & Gym-Goers","25","Munich","10.7","29.49","3.5","Gym & Office","0","1","1","0","10"
"DE-SURVEY-166","Students & Budget-Conscious","24","Munich","4.2","15.73","7.7","Retail/Grocery","1","1","0","0","6.7"
"DE-SURVEY-167","Fitness & Gym-Goers","35","Cologne","5.8","12.4","8.8","Retail/Grocery","0","1","1","0","3.3"
"DE-SURVEY-168","Students & Budget-Conscious","22","Berlin","3.9","19.61","9.3","Retail/Grocery","1","0","0","0","4.7"
"DE-SURVEY-169","Urban Wellness Professionals","29","Hamburg","8.0","24.45","4.6","Gym & Office","1","1","1","1","8.9"
"DE-SURVEY-170","Urban Wellness Professionals","40","Berlin","7.3","22.23","3.9","DTC Online","1","0","0","0","9.1"
"DE-SURVEY-171","Urban Wellness Professionals","30","Hamburg","9.2","26.26","3.7","DTC Online","1","0","1","1","10"
"DE-SURVEY-172","Urban Wellness Professionals","31","Munich","4.6","19.76","4.0","DTC Online","0","0","0","1","10"
"DE-SURVEY-173","Urban Wellness Professionals","37","Frankfurt","4.5","25.36","4.5","DTC Online","0","1","1","1","6.9"
"DE-SURVEY-174","Urban Wellness Professionals","30","Hamburg","9.6","19.31","2.2","DTC Online","0","0","0","1","9.8"
"DE-SURVEY-175","Students & Budget-Conscious","20","Berlin","3.2","26.05","6.1","Retail/Grocery","1","0","0","0","6.0"
"DE-SURVEY-176","Urban Wellness Professionals","39","Cologne","5.7","26.87","3.8","DTC Online","0","0","0","1","9.7"
"DE-SURVEY-177","Urban Wellness Professionals","28","Munich","7.4","26.45","1.4","DTC Online","0","0","0","1","9.3"
"DE-SURVEY-178","On-the-go Commuters","26","Cologne","10.3","25.77","2.1","Gym & Office","1","1","0","0","8.0"
"DE-SURVEY-179","Students & Budget-Conscious","19","Other Germany","4.6","15.77","6.6","Gym & Office","1","0","0","0","5.7"
"DE-SURVEY-180","On-the-go Commuters","28","Berlin","4.5","24.37","8.6","Retail/Grocery","0","0","0","0","7.3"
"DE-SURVEY-181","Urban Wellness Professionals","33","Other Germany","7.8","20.88","5.6","Retail/Grocery","0","0","1","1","6.9"
"DE-SURVEY-182","Fitness & Gym-Goers","20","Other Germany","2.7","5.73","6.9","DTC Online","1","0","1","0","9.4"
"DE-SURVEY-183","Students & Budget-Conscious","24","Cologne","4.9","14.98","9.7","Gym & Office","1","1","0","0","4.1"
"DE-SURVEY-184","On-the-go Commuters","29","Other Germany","2.1","21.66","7.9","Retail/Grocery","1","0","1","0","6.3"
"DE-SURVEY-185","Fitness & Gym-Goers","25","Hamburg","5.5","21.09","7.0","Retail/Grocery","1","0","0","0","7.8"
"DE-SURVEY-186","Urban Wellness Professionals","29","Cologne","8.2","24.88","5.5","DTC Online","1","0","0","0","9.4"
"DE-SURVEY-187","Fitness & Gym-Goers","20","Frankfurt","8.4","20.58","3.6","Gym & Office","0","0","1","1","8.4"
"DE-SURVEY-188","Fitness & Gym-Goers","30","Hamburg","4.6","17.09","5.8","Retail/Grocery","0","1","0","1","6.8"
"DE-SURVEY-189","On-the-go Commuters","34","Munich","7.6","12.52","6.5","Gym & Office","1","1","1","0","4.3"
"DE-SURVEY-190","Students & Budget-Conscious","18","Other Germany","8.4","12.83","6.1","Retail/Grocery","1","0","1","0","7.4"
"DE-SURVEY-191","Students & Budget-Conscious","19","Berlin","5.8","13.1","6.2","DTC Online","1","1","0","0","6.5"
"DE-SURVEY-192","Urban Wellness Professionals","31","Other Germany","10.0","24.94","2.7","Retail/Grocery","1","1","0","1","8.0"
"DE-SURVEY-193","Students & Budget-Conscious","21","Berlin","8.5","17.74","7.2","DTC Online","1","1","0","0","5.1"
"DE-SURVEY-194","On-the-go Commuters","48","Munich","1.9","19.28","6.0","Gym & Office","1","1","0","0","6.0"
"DE-SURVEY-195","On-the-go Commuters","45","Berlin","8.3","15.76","5.0","Retail/Grocery","1","0","0","0","6.7"
"DE-SURVEY-196","Urban Wellness Professionals","26","Other Germany","7.2","24.72","4.7","Gym & Office","1","0","0","0","8.5"
"DE-SURVEY-197","Students & Budget-Conscious","19","Hamburg","2.3","22.25","8.8","Retail/Grocery","1","1","1","0","6.4"
"DE-SURVEY-198","On-the-go Commuters","34","Other Germany","6.5","14.53","7.2","Gym & Office","0","1","0","0","6.9"
"DE-SURVEY-199","On-the-go Commuters","49","Munich","8.9","24.49","7.8","DTC Online","1","1","1","0","5.9"
"DE-SURVEY-200","Urban Wellness Professionals","34","Berlin","11.0","29.88","1","DTC Online","1","1","0","1","10"
"DE-SURVEY-201","On-the-go Commuters","39","Other Germany","6.9","15.93","4.1","Retail/Grocery","1","1","1","0","9.1"
"DE-SURVEY-202","On-the-go Commuters","37","Other Germany","6.9","23.9","5.1","Gym & Office","1","1","0","0","7.0"
"DE-SURVEY-203","Students & Budget-Conscious","20","Other Germany","6.7","19.92","7.6","DTC Online","1","0","1","0","6.2"
"DE-SURVEY-204","Urban Wellness Professionals","27","Other Germany","7.9","24.59","1.6","DTC Online","0","0","0","1","10"
"DE-SURVEY-205","Urban Wellness Professionals","29","Berlin","9.2","14.98","5.1","Retail/Grocery","0","1","0","1","10"
"DE-SURVEY-206","Students & Budget-Conscious","23","Cologne","1.9","13.13","10","Retail/Grocery","1","0","0","0","4.6"
"DE-SURVEY-207","Students & Budget-Conscious","23","Hamburg","3.7","12.33","8.9","DTC Online","1","0","0","0","5.1"
"DE-SURVEY-208","Urban Wellness Professionals","27","Munich","10.8","13.62","4.3","Retail/Grocery","0","0","0","1","8.9"
"DE-SURVEY-209","Urban Wellness Professionals","40","Hamburg","8.9","31.64","3.1","DTC Online","0","1","0","1","10"
"DE-SURVEY-210","Urban Wellness Professionals","32","Other Germany","6.2","29.36","2.9","DTC Online","0","1","0","0","7.0"
"DE-SURVEY-211","Urban Wellness Professionals","30","Berlin","4.0","23.35","4.2","Retail/Grocery","0","0","0","1","9.1"
"DE-SURVEY-212","On-the-go Commuters","40","Frankfurt","6.0","18.07","6.4","Retail/Grocery","1","0","0","0","6.3"
"DE-SURVEY-213","Students & Budget-Conscious","24","Other Germany","4.5","23.4","9.7","Gym & Office","0","0","0","0","3.1"
"DE-SURVEY-214","Urban Wellness Professionals","28","Hamburg","5.7","12.26","5.6","DTC Online","1","0","0","0","9.3"
"DE-SURVEY-215","Fitness & Gym-Goers","29","Munich","9.3","21.36","4.0","Gym & Office","0","0","0","0","9.7"
"DE-SURVEY-216","Fitness & Gym-Goers","23","Other Germany","5.7","15.48","5.1","Gym & Office","1","0","1","0","8.2"
